targetkey,neo,neo sent,gas,gas sent,multisig,email
031ee7405af27c9e589d0783b39a8fefbdacaf3aab1486b3899c674652b4de0b0b,1000,yes,1000,yes,AQm4NrBoD4x8VdenntFzZe9FoDnCVoq8Vv,
03106692cd082458a7e39df29b5ff5ef896c6e4a2c8c74e5c2900c576b0af498bf,1000,yes,1000,yes,AdTAM7tyhSNeCEUtPZrVxJiq37bisCAYYn,
03b967789f23dea3900a5e7d5f451b1c77ca6727905f3b4d2e89af5f494a3daa9a,1000,yes,1000,yes,AZ4bvN9Hx1e4tdzkkhGZpnxcZSFHcbTb9B,
02055765a4cacfe8aa81d95e98bf6c6d1840fc6d5c3e9048139cc346cf2dc5c649,100,yes,1000,yes,APVvKZ6J4BSnbLFpcSeCjL3zdprQnVogKP,
03cdfa4970ff0dc2007546c0eed586f1c91cec42fd1a11e17e8849cb071255e31e,100,yes,1000,no,AMnWH37ALaaSyF7zEmvZNvkZwjxDBYYdQb,
037692f8661598524d0f137fb3795e8bf541d015de353f1fe50456768a03023738,1000,no,1000,no,AKZS6go9yCzsKYYAxNBv1FjhmgHt3fS6GP,
020873c7a3b8ba32aa1faff9ecf47087fc9cc006f2aea26506999a735ccdc3cc79,1000,no,1000,no,AGbKsbGdXA7bsriqnPmVAosoPKypKFLeUU,
03659bead2520afcc9740faf53d76f40c4788acf073c187394858aec2e7949a6c4,10,no,10,no,AT3FHmXfpZ3rzt8zn56G93SQTQGszFvyzb,
03d90df0d51c865f6c57bfa8e5f4d5c6dff036ca2e1f0ba1df2c7a48336150e9d7,1000,no,1000,no,ATirXesXX8KaLPd2pW1g6Cjo4zTC1RbZqQ,
0244a71afe7697345b6eecf8a93e964a8fe9ff7401c3ec2af84f839689ec84f33d,1000,yes,1000,yes,AJq9veeogv7oBat5UozdPQgQeZANMZrAuh,
030d6a05b6fd923ea63d3ce3536317f38657d8a27d2b4905102d9066b7cb8d0d37,1000,no,1000,yes,AM5cEB4RJLatjUpsf15kscALEhwhvf6Ssr,
02df46ccd2037cabc7c3c700ae80b9fb86976cbb5f4b8d31c783eeacd7d8dfbf46,50,yes,500,yes,AJhQuxndM4tTQjsd9ouCmMLUbHUQyg8obF,
025e3d4ced7f6142511a6738acb290121a23dbe3f46a378edcfa693769c622871d,10,no,10,yes,ARhmqqRSjBDUumq8XKUv7NrJfQsqNmtvdq,
02faf852e6da0a54e6ffdfe132ed0ca76ba57a344020c402c15875448b0423d2ce,1000,no,1000,no,AL6N6sFVBseizvwPERV2HmZuUQ8PfWiwah,
03a275067f3a70567c9c970c250af914e1ca30eeab478fb5d37e9bfac656a3aeab,1000,no,1000,no,AQxtk9v4dx4nMQNDpuxBueHbP5AW5Znk9U,
